 Epoch   |          losses           |   Recall@ 5   |    NDCG@ 5    |   Recall@10   |    NDCG@10    |   Recall@20   |    NDCG@20    |
/content/BundleMage/src/utils.py:44: UserWarning: torch.sparse.SparseTensor(indices, values, shape, *, device=) is deprecated.  Please use torch.sparse_coo_tensor(indices, values, shape, dtype=, device=). (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:621.)
  t = torch.sparse.FloatTensor(indices, torch.from_numpy(values).float(), [samples, features])
119 Rec | 372.9041  65.3153  82.7899 | 0.5935 0.6420 | 0.4540 0.4923 | 0.7124 0.7608 | 0.4928 0.5312 | 0.8069 0.8459 | 0.5169 0.5528 |      12.82    1573.16
120 Rec | 369.6461  65.2818  82.7486 | 0.5942 0.6451 | 0.4531 0.4935 | 0.7149 0.7622 | 0.4924 0.5318 | 0.8107 0.8471 | 0.5167 0.5533 |      12.88    1586.36
============================ CUR BEST ============================
104 Rec | 371.1548  65.8770  83.5031 | 0.5958 0.6363 | 0.4474 0.4871 | 0.7110 0.7613 | 0.4850 0.5279 | 0.8019 0.8388 | 0.5080 0.5475 |      13.19    1374.44
=================================================================
121 Rec | 367.7600  65.2251  82.6737 | 0.5931 0.6451 | 0.4535 0.4958 | 0.7144 0.7627 | 0.4931 0.5343 | 0.8110 0.8456 | 0.5176 0.5553 |      12.79    1599.46
122 Rec | 374.1212  65.2430  82.6931 | 0.6009 0.6460 | 0.4588 0.4962 | 0.7155 0.7630 | 0.4962 0.5344 | 0.8069 0.8471 | 0.5195 0.5557 |      12.89    1612.71
123 Rec | 368.3220  65.1911  82.6276 | 0.5987 0.6474 | 0.4538 0.4958 | 0.7140 0.7608 | 0.4916 0.5329 | 0.8076 0.8451 | 0.5154 0.5543 |      12.77    1625.82
124 Rec | 369.2704  65.1223  82.5403 | 0.5960 0.6500 | 0.4529 0.4982 | 0.7176 0.7619 | 0.4926 0.5348 | 0.8114 0.8473 | 0.5164 0.5565 |      12.79    1638.93
125 Rec | 368.2564  65.0988  82.5086 | 0.6005 0.6457 | 0.4546 0.4951 | 0.7135 0.7619 | 0.4915 0.5331 | 0.8132 0.8459 | 0.5168 0.5544 |      12.89    1652.13
126 Rec | 371.3809  65.1006  82.5159 | 0.6032 0.6517 | 0.4564 0.4985 | 0.7182 0.7656 | 0.4941 0.5356 | 0.8067 0.8476 | 0.5165 0.5565 |      12.87    1665.37
127 Rec | 372.3129  65.0718  82.4765 | 0.5960 0.6468 | 0.4528 0.4943 | 0.7155 0.7627 | 0.4920 0.5321 | 0.8078 0.8476 | 0.5154 0.5536 |      12.86    1678.70
128 Rec | 368.1529  64.9793  82.3612 | 0.6009 0.6460 | 0.4554 0.4971 | 0.7219 0.7627 | 0.4946 0.5354 | 0.8103 0.8485 | 0.5170 0.5572 |      12.94    1692.02
129 Rec | 367.7363  64.9428  82.3119 | 0.5987 0.6454 | 0.4547 0.4952 | 0.7153 0.7625 | 0.4928 0.5336 | 0.8105 0.8453 | 0.5169 0.5547 |      12.99    1705.41
130 Rec | 371.9799  64.9186  82.2830 | 0.5978 0.6465 | 0.4560 0.4960 | 0.7192 0.7613 | 0.4956 0.5334 | 0.8146 0.8502 | 0.5197 0.5560 |      13.01    1718.82
131 Rec | 365.6178  64.8159  82.1522 | 0.6052 0.6491 | 0.4590 0.5003 | 0.7201 0.7619 | 0.4964 0.5373 | 0.8089 0.8490 | 0.5188 0.5594 |      12.86    1732.01
132 Rec | 366.4443  64.8727  82.2267 | 0.6018 0.6491 | 0.4565 0.4997 | 0.7234 0.7633 | 0.4961 0.5371 | 0.8116 0.8485 | 0.5183 0.5587 |      12.82    1745.19
133 Rec | 371.6005  64.7710  82.0985 | 0.6039 0.6500 | 0.4608 0.5006 | 0.7212 0.7639 | 0.4990 0.5379 | 0.8112 0.8485 | 0.5217 0.5594 |      12.85    1758.40
134 Rec | 370.5032  64.9187  82.2868 | 0.6007 0.6559 | 0.4546 0.5023 | 0.7189 0.7667 | 0.4931 0.5384 | 0.8150 0.8488 | 0.5174 0.5592 |      12.91    1771.62
135 Rec | 367.3759  64.6138  81.8967 | 0.6032 0.6491 | 0.4566 0.4990 | 0.7171 0.7662 | 0.4938 0.5374 | 0.8146 0.8499 | 0.5185 0.5586 |      13.07    1785.02
136 Rec | 364.7560  64.6557  81.9486 | 0.5973 0.6514 | 0.4537 0.4993 | 0.7173 0.7645 | 0.4929 0.5363 | 0.8152 0.8468 | 0.5176 0.5572 |      12.89    1798.25
137 Rec | 370.4311  64.5719  81.8435 | 0.6023 0.6477 | 0.4561 0.4971 | 0.7155 0.7636 | 0.4932 0.5349 | 0.8141 0.8479 | 0.5181 0.5563 |      12.84    1811.41
138 Rec | 366.0165  64.6243  81.9098 | 0.6023 0.6520 | 0.4549 0.4999 | 0.7162 0.7630 | 0.4921 0.5362 | 0.8168 0.8468 | 0.5176 0.5575 |      12.94    1824.67
139 Rec | 364.9823  64.5648  81.8307 | 0.6025 0.6508 | 0.4574 0.5007 | 0.7178 0.7619 | 0.4951 0.5369 | 0.8107 0.8485 | 0.5187 0.5589 |      12.88    1837.87
140 Rec | 372.2781  64.7573  82.0757 | 0.5949 0.6463 | 0.4513 0.4954 | 0.7187 0.7610 | 0.4917 0.5331 | 0.8177 0.8493 | 0.5169 0.5555 |      12.91    1851.11
============================ CUR BEST ============================
131 Rec | 365.6178  64.8159  82.1522 | 0.6052 0.6491 | 0.4590 0.5003 | 0.7201 0.7619 | 0.4964 0.5373 | 0.8089 0.8490 | 0.5188 0.5594 |      12.86    1732.01
=================================================================
141 Rec | 366.6922  64.6600  81.9516 | 0.5958 0.6448 | 0.4470 0.4947 | 0.7144 0.7616 | 0.4860 0.5328 | 0.8083 0.8465 | 0.5099 0.5543 |      12.84    1864.27
142 Rec | 365.8343  64.6633  81.9597 | 0.5971 0.6511 | 0.4514 0.4998 | 0.7194 0.7630 | 0.4911 0.5364 | 0.8152 0.8496 | 0.5154 0.5583 |      12.80    1877.38
143 Rec | 362.5049  64.5538  81.8187 | 0.5969 0.6445 | 0.4494 0.4971 | 0.7140 0.7627 | 0.4877 0.5355 | 0.8103 0.8453 | 0.5121 0.5565 |      12.70    1890.40
144 Rec | 371.8555  64.6151  81.8953 | 0.6005 0.6505 | 0.4554 0.4995 | 0.7189 0.7610 | 0.4939 0.5356 | 0.8164 0.8482 | 0.5186 0.5577 |      12.78    1903.52
145 Rec | 372.1162  64.6379  81.9161 | 0.5921 0.6397 | 0.4420 0.4915 | 0.7128 0.7608 | 0.4814 0.5308 | 0.8094 0.8451 | 0.5058 0.5522 |      12.80    1916.65
146 Rec | 367.5757  64.4251  81.6571 | 0.5958 0.6502 | 0.4527 0.4982 | 0.7192 0.7608 | 0.4928 0.5344 | 0.8152 0.8490 | 0.5172 0.5569 |      12.79    1929.76
147 Rec | 363.5405  64.3319  81.5329 | 0.5960 0.6457 | 0.4494 0.4958 | 0.7119 0.7622 | 0.4873 0.5337 | 0.8130 0.8448 | 0.5129 0.5546 |      12.76    1942.86
148 Rec | 367.9839  64.3543  81.5682 | 0.5994 0.6522 | 0.4554 0.5004 | 0.7201 0.7647 | 0.4947 0.5371 | 0.8177 0.8508 | 0.5194 0.5589 |      12.78    1955.98
149 Rec | 367.4117  64.4160  81.6371 | 0.6012 0.6434 | 0.4521 0.4960 | 0.7164 0.7622 | 0.4896 0.5347 | 0.8094 0.8476 | 0.5131 0.5563 |      12.90    1969.19
150 Rec | 364.3913  64.2190  81.3937 | 0.6028 0.6522 | 0.4582 0.5024 | 0.7214 0.7662 | 0.4967 0.5396 | 0.8200 0.8516 | 0.5216 0.5612 |      12.66    1982.27
151 Rec | 367.7668  64.4257  81.6505 | 0.5987 0.6460 | 0.4485 0.4963 | 0.7189 0.7599 | 0.4878 0.5334 | 0.8107 0.8439 | 0.5111 0.5548 |      12.78    1995.45
152 Rec | 364.1949  64.1574  81.3155 | 0.6050 0.6559 | 0.4555 0.5031 | 0.7228 0.7650 | 0.4940 0.5387 | 0.8207 0.8508 | 0.5187 0.5604 |      12.93    2008.81
153 Rec | 364.7188  64.1635  81.3173 | 0.6086 0.6505 | 0.4556 0.5029 | 0.7194 0.7622 | 0.4918 0.5394 | 0.8143 0.8471 | 0.5158 0.5610 |      13.07    2022.30
154 Rec | 364.8775  64.0491  81.1781 | 0.6088 0.6588 | 0.4598 0.5091 | 0.7239 0.7693 | 0.4973 0.5450 | 0.8213 0.8536 | 0.5220 0.5663 |      12.86    2035.52
155 Rec | 371.1892  64.5528  81.8044 | 0.5931 0.6417 | 0.4363 0.4897 | 0.7169 0.7593 | 0.4769 0.5279 | 0.8105 0.8459 | 0.5006 0.5498 |      12.92    2048.80
156 Rec | 364.9083  64.1122  81.2651 | 0.6037 0.6534 | 0.4529 0.5018 | 0.7205 0.7670 | 0.4912 0.5389 | 0.8182 0.8545 | 0.5160 0.5611 |      12.92    2062.06
157 Rec | 366.5898  64.1414  81.2934 | 0.6041 0.6525 | 0.4506 0.5009 | 0.7201 0.7622 | 0.4887 0.5368 | 0.8146 0.8493 | 0.5127 0.5589 |      12.81    2075.21
158 Rec | 368.1696  64.1396  81.2966 | 0.6055 0.6514 | 0.4549 0.5036 | 0.7241 0.7704 | 0.4935 0.5424 | 0.8195 0.8527 | 0.5176 0.5632 |      12.87    2088.42
159 Rec | 367.4079  64.5004  81.7466 | 0.5926 0.6445 | 0.4396 0.4908 | 0.7135 0.7542 | 0.4790 0.5262 | 0.8071 0.8422 | 0.5027 0.5486 |      12.97    2101.73
160 Rec | 366.7958  64.0862  81.2378 | 0.6149 0.6585 | 0.4643 0.5083 | 0.7230 0.7719 | 0.4995 0.5451 | 0.8168 0.8527 | 0.5233 0.5655 |      12.92    2114.97
============================ CUR BEST ============================
160 Rec | 366.7958  64.0862  81.2378 | 0.6149 0.6585 | 0.4643 0.5083 | 0.7230 0.7719 | 0.4995 0.5451 | 0.8168 0.8527 | 0.5233 0.5655 |      12.92    2114.97
=================================================================
161 Rec | 364.0216  64.1268  81.2799 | 0.6014 0.6511 | 0.4474 0.4996 | 0.7201 0.7599 | 0.4861 0.5349 | 0.8152 0.8527 | 0.5101 0.5584 |      13.05    2128.41
162 Rec | 361.8206  63.7810  80.8487 | 0.6136 0.6582 | 0.4639 0.5081 | 0.7252 0.7710 | 0.5003 0.5448 | 0.8207 0.8545 | 0.5244 0.5660 |      12.89    2141.66
163 Rec | 364.4190  63.8395  80.9173 | 0.6012 0.6531 | 0.4474 0.5007 | 0.7198 0.7590 | 0.4862 0.5352 | 0.8168 0.8550 | 0.5107 0.5596 |      12.99    2154.98
164 Rec | 367.6653  63.7001  80.7468 | 0.6122 0.6582 | 0.4598 0.5080 | 0.7239 0.7690 | 0.4963 0.5442 | 0.8168 0.8582 | 0.5199 0.5668 |      12.72    2168.03
165 Rec | 364.5808  63.6571  80.6839 | 0.6048 0.6508 | 0.4510 0.5015 | 0.7232 0.7653 | 0.4896 0.5389 | 0.8166 0.8559 | 0.5133 0.5620 |      12.93    2181.29
166 Rec | 365.0912  63.5553  80.5624 | 0.6136 0.6602 | 0.4586 0.5079 | 0.7259 0.7704 | 0.4951 0.5437 | 0.8189 0.8573 | 0.5188 0.5658 |      12.73    2194.36
167 Rec | 369.8918  63.6875  80.7226 | 0.6068 0.6502 | 0.4534 0.5025 | 0.7246 0.7659 | 0.4917 0.5402 | 0.8211 0.8570 | 0.5162 0.5633 |      12.83    2207.51
168 Rec | 368.6676  63.4152  80.3850 | 0.6183 0.6571 | 0.4657 0.5082 | 0.7257 0.7690 | 0.5007 0.5449 | 0.8182 0.8570 | 0.5242 0.5673 |      12.67    2220.51
169 Rec | 362.2845  63.4730  80.4530 | 0.6082 0.6531 | 0.4574 0.5057 | 0.7250 0.7719 | 0.4957 0.5445 | 0.8259 0.8584 | 0.5212 0.5664 |      12.77    2233.63
170 Rec | 364.1492  63.4157  80.3847 | 0.6115 0.6616 | 0.4581 0.5119 | 0.7257 0.7696 | 0.4953 0.5471 | 0.8191 0.8567 | 0.5189 0.5692 |      12.84    2246.81
171 Rec | 362.7648  63.3122  80.2541 | 0.6077 0.6591 | 0.4566 0.5083 | 0.7257 0.7739 | 0.4952 0.5457 | 0.8301 0.8587 | 0.5216 0.5673 |      12.72    2259.95
172 Rec | 370.0075  63.3058  80.2455 | 0.6115 0.6633 | 0.4604 0.5128 | 0.7284 0.7721 | 0.4986 0.5480 | 0.8177 0.8582 | 0.5212 0.5698 |      12.98    2273.31
173 Rec | 369.3809  63.3394  80.2863 | 0.6018 0.6502 | 0.4549 0.5032 | 0.7273 0.7713 | 0.4960 0.5426 | 0.8245 0.8584 | 0.5205 0.5647 |      12.76    2286.49
174 Rec | 370.4658  63.4069  80.3703 | 0.6147 0.6616 | 0.4623 0.5130 | 0.7268 0.7727 | 0.4989 0.5492 | 0.8168 0.8570 | 0.5217 0.5706 |      12.71    2299.61
175 Rec | 360.6598  63.4343  80.3989 | 0.6043 0.6514 | 0.4521 0.5028 | 0.7270 0.7699 | 0.4921 0.5416 | 0.8268 0.8576 | 0.5172 0.5638 |      12.71    2312.77
176 Rec | 360.1319  63.2374  80.1527 | 0.6136 0.6579 | 0.4626 0.5105 | 0.7279 0.7721 | 0.5000 0.5477 | 0.8234 0.8582 | 0.5241 0.5697 |      12.81    2325.91
177 Rec | 366.8003  63.7877  80.8374 | 0.5960 0.6471 | 0.4448 0.4955 | 0.7246 0.7704 | 0.4866 0.5356 | 0.8277 0.8545 | 0.5127 0.5569 |      12.84    2339.09
178 Rec | 358.9372  63.1254  80.0110 | 0.6106 0.6625 | 0.4593 0.5135 | 0.7286 0.7730 | 0.4977 0.5495 | 0.8220 0.8579 | 0.5214 0.5711 |      12.89    2352.33
179 Rec | 360.4827  63.1718  80.0673 | 0.6064 0.6537 | 0.4576 0.5039 | 0.7282 0.7719 | 0.4974 0.5425 | 0.8281 0.8559 | 0.5227 0.5639 |      13.04    2365.70
180 Rec | 364.2862  62.9518  79.7964 | 0.6127 0.6599 | 0.4615 0.5095 | 0.7313 0.7770 | 0.5002 0.5475 | 0.8238 0.8602 | 0.5236 0.5687 |      12.83    2378.86
============================ CUR BEST ============================
168 Rec | 368.6676  63.4152  80.3850 | 0.6183 0.6571 | 0.4657 0.5082 | 0.7257 0.7690 | 0.5007 0.5449 | 0.8182 0.8570 | 0.5242 0.5673 |      12.67    2220.51
=================================================================
181 Rec | 362.7639  62.9944  79.8419 | 0.6077 0.6554 | 0.4570 0.5065 | 0.7289 0.7733 | 0.4965 0.5448 | 0.8288 0.8576 | 0.5217 0.5662 |      12.99    2392.18
182 Rec | 359.6913  62.8350  79.6474 | 0.6140 0.6653 | 0.4659 0.5132 | 0.7298 0.7776 | 0.5038 0.5495 | 0.8288 0.8587 | 0.5289 0.5701 |      12.77    2405.27
183 Rec | 366.8942  62.9955  79.8465 | 0.6050 0.6551 | 0.4541 0.5041 | 0.7268 0.7713 | 0.4936 0.5420 | 0.8295 0.8570 | 0.5196 0.5638 |      12.81    2418.41
184 Rec | 358.1522  62.7407  79.5266 | 0.6140 0.6642 | 0.4659 0.5155 | 0.7307 0.7793 | 0.5039 0.5528 | 0.8288 0.8593 | 0.5287 0.5731 |      12.84    2431.61
185 Rec | 361.8702  62.9226  79.7480 | 0.5991 0.6514 | 0.4510 0.5030 | 0.7273 0.7721 | 0.4929 0.5423 | 0.8358 0.8565 | 0.5203 0.5637 |      13.05    2444.97
186 Rec | 361.3909  62.7147  79.4883 | 0.6138 0.6608 | 0.4651 0.5115 | 0.7325 0.7770 | 0.5039 0.5494 | 0.8272 0.8590 | 0.5278 0.5703 |      12.78    2458.09
187 Rec | 360.0749  62.8362  79.6368 | 0.6014 0.6545 | 0.4524 0.5055 | 0.7268 0.7730 | 0.4933 0.5440 | 0.8358 0.8596 | 0.5208 0.5660 |      12.83    2471.24
188 Rec | 366.4274  62.7000  79.4649 | 0.6138 0.6619 | 0.4666 0.5106 | 0.7300 0.7761 | 0.5044 0.5478 | 0.8286 0.8553 | 0.5292 0.5680 |      12.71    2484.28
189 Rec | 357.0133  62.6274  79.3709 | 0.6100 0.6591 | 0.4622 0.5100 | 0.7300 0.7739 | 0.5013 0.5474 | 0.8353 0.8584 | 0.5279 0.5689 |      13.06    2497.66
190 Rec | 360.2925  62.4969  79.2114 | 0.6134 0.6628 | 0.4611 0.5117 | 0.7313 0.7807 | 0.4996 0.5500 | 0.8295 0.8570 | 0.5244 0.5694 |      12.97    2510.97
191 Rec | 362.3632  62.6221  79.3659 | 0.6097 0.6588 | 0.4553 0.5051 | 0.7284 0.7719 | 0.4938 0.5418 | 0.8292 0.8565 | 0.5194 0.5634 |      12.91    2524.21
192 Rec | 362.7291  62.5063  79.2281 | 0.6152 0.6648 | 0.4636 0.5135 | 0.7336 0.7824 | 0.5022 0.5516 | 0.8277 0.8584 | 0.5259 0.5710 |      13.02    2537.56
193 Rec | 361.9887  62.7466  79.5272 | 0.6034 0.6539 | 0.4543 0.5036 | 0.7221 0.7699 | 0.4930 0.5412 | 0.8274 0.8547 | 0.5197 0.5628 |      12.78    2550.67
194 Rec | 359.8552  62.6052  79.3505 | 0.6199 0.6702 | 0.4714 0.5181 | 0.7316 0.7827 | 0.5079 0.5546 | 0.8277 0.8599 | 0.5322 0.5742 |      12.89    2563.95
195 Rec | 358.7077  62.9995  79.8401 | 0.5971 0.6451 | 0.4455 0.4961 | 0.7198 0.7673 | 0.4855 0.5358 | 0.8252 0.8547 | 0.5122 0.5581 |      12.71    2577.09
196 Rec | 364.9195  62.8153  79.6242 | 0.6208 0.6628 | 0.4729 0.5146 | 0.7313 0.7807 | 0.5090 0.5530 | 0.8270 0.8584 | 0.5331 0.5728 |      12.66    2590.15
197 Rec | 358.2592  63.3938  80.3431 | 0.5892 0.6377 | 0.4374 0.4872 | 0.7151 0.7619 | 0.4783 0.5274 | 0.8222 0.8496 | 0.5054 0.5498 |      12.76    2603.36
198 Rec | 359.9194  62.7100  79.4927 | 0.6154 0.6676 | 0.4689 0.5169 | 0.7352 0.7795 | 0.5079 0.5532 | 0.8252 0.8579 | 0.5306 0.5731 |      12.71    2616.50
199 Rec | 360.9274  63.1577  80.0477 | 0.5906 0.6400 | 0.4419 0.4915 | 0.7189 0.7645 | 0.4837 0.5318 | 0.8211 0.8485 | 0.5096 0.5533 |      12.79    2629.68
200 Rec | 359.0985  62.6668  79.4288 | 0.6120 0.6619 | 0.4640 0.5147 | 0.7329 0.7764 | 0.5033 0.5520 | 0.8306 0.8604 | 0.5280 0.5733 |      12.62    2642.65
============================ CUR BEST ============================
196 Rec | 364.9195  62.8153  79.6242 | 0.6208 0.6628 | 0.4729 0.5146 | 0.7313 0.7807 | 0.5090 0.5530 | 0.8270 0.8584 | 0.5331 0.5728 |      12.66    2590.15
=================================================================
============================ BEST ============================
196 Rec | 364.9195  62.8153  79.6242 | 0.6208 0.6628 | 0.4729 0.5146 | 0.7313 0.7807 | 0.5090 0.5530 | 0.8270 0.8584 | 0.5331 0.5728 |      12.66    2590.15
